name,email,date_of_birth,mobile_no,first_name,last_name,date_of_birth_YYYYMMDD,above_18
Chris Stewart,Chris_Stewart@lyons.net,2004-11-09,619833,Chris,Stewart,20041109,False
Robert Moore,Robert_Moore@collins.com,03/17/1950,1399812,Robert,Moore,19500317,True
Timothy Ray,Timothy_Ray@torres.biz,27-01-1962,353613,Timothy,Ray,19620127,True
Scott Day,Scott_Day@robinson.info,07/27/2017,32726,Scott,Day,20170727,False
Nathaniel Armstrong,Nathaniel_Armstrong@williams-medina.net,1960/10/04,50026,Nathaniel,Armstrong,19601004,True
Amanda Brown,Amanda_Brown@martinez.com,18-04-2010,36636,Amanda,Brown,20100418,False
Larry Wilson,Larry_Wilson@perry.com,02/21/1967,5615 8527,Larry,Wilson,19670221,True
Joshua Thompson,Joshua_Thompson@morrow.com,08/30/1984,9899 9803,Joshua,Thompson,19840830,True
Kim Howell,Kim_Howell@rice-avery.biz,02/01/2009,4811794,Kim,Howell,20090102,False
Kristin Lindsey,Kristin_Lindsey@dennis.com,1963-07-02,73341,Kristin,Lindsey,19630702,True
Erin Flowers,Erin_Flowers@smith.com,2007-07-03,962571,Erin,Flowers,20070703,False
Samuel Anderson,Samuel_Anderson@white-bryant.com,2016-09-06,83338023,Samuel,Anderson,20160906,False
Jennifer Burke DDS,Jennifer_Burke@sampson-davis.com,10/09/1981,9728258,Jennifer,DDS,19810910,True
Kelly Douglas,Kelly_Douglas@walton.com,1988-11-04,2470602,Kelly,Douglas,19881104,True
Nancy Marshall,Nancy_Marshall@wood.net,1972/06/20,7573700,Nancy,Marshall,19720620,True
Jorge Johnson,Jorge_Johnson@sanchez.com,1967-02-24,66181,Jorge,Johnson,19670224,True
Amy French,Amy_French@castro.com,05/09/2005,290895,Amy,French,20050905,False
Virginia Chambers DDS,Virginia_Chambers@lewis.com,1982/02/04,1259959,Virginia,DDS,19820204,True
Mary Pollard,Mary_Pollard@francis.com,21-09-1985,977979,Mary,Pollard,19850921,True
Edward Norris,Edward_Norris@harris-long.info,10/14/2010,820179,Edward,Norris,20101014,False
Deborah Bailey,Deborah_Bailey@shaw.com,1987-12-23,750429,Deborah,Bailey,19871223,True
Jennifer Jones,Jennifer_Jones@hall.org,2011-04-23,20526,Jennifer,Jones,20110423,False
Sonya Griffith,Sonya_Griffith@harris.com,28-04-2006,30409567,Sonya,Griffith,20060428,False
Patrick Gallagher,Patrick_Gallagher@higgins.com,1986/12/16,391455,Patrick,Gallagher,19861216,True
Jonathan Miller,Jonathan_Miller@rodgers-sanchez.info,1990/03/02,4791452,Jonathan,Miller,19900302,True
Heather Ballard,Heather_Ballard@armstrong.net,1952/01/25,84416,Heather,Ballard,19520125,True
Andre Manning,Andre_Manning@reeves-marshall.com,12-08-2004,66456055,Andre,Manning,20040812,False
Ashley Soto,Ashley_Soto@yoder.com,2006/11/04,76666,Ashley,Soto,20061104,False
Dr. Elizabeth Clark,Elizabeth_Clark@parker.net,2017/08/26,17305399,Elizabeth,Clark,20170826,False
Patricia Young,Patricia_Young@sims.biz,2002/07/28,11131,Patricia,Young,20020728,True
Marisa Campbell,Marisa_Campbell@wilkinson-scott.org,1953/12/09,654831,Marisa,Campbell,19531209,True
Timothy Davis,Timothy_Davis@johnson-brooks.com,10/17/1959,8064414,Timothy,Davis,19591017,True
Mitchell Ibarra,Mitchell_Ibarra@cole.com,10/30/1984,76251,Mitchell,Ibarra,19841030,True
Chelsea Chen,Chelsea_Chen@coleman-haney.biz,04-05-1987,63416567,Chelsea,Chen,19870504,True
Paul Taylor,Paul_Taylor@allen-larson.net,26-10-1955,13786,Paul,Taylor,19551026,True
Henry Roach,Henry_Roach@newman.com,06/14/1956,71356,Henry,Roach,19560614,True
Thomas Mcclain,Thomas_Mcclain@shields.com,2014/05/16,4416952,Thomas,Mcclain,20140516,False
Dennis Williams,Dennis_Williams@rivas.com,11/07/1966,9399 3079,Dennis,Williams,19660711,True
Paul Stein,Paul_Stein@ramirez.org,07/08/1977,1978278,Paul,Stein,19770807,True
Susan Christensen,Susan_Christensen@anderson.com,1975-05-04,326721,Susan,Christensen,19750504,True
Crystal Brown,Crystal_Brown@barnes.com,1973/03/14,8176519,Crystal,Brown,19730314,True
Crystal Lowe,Crystal_Lowe@andrews.com,1994/11/30,598563,Crystal,Lowe,19941130,True
Brian Baker,Brian_Baker@martinez-jenkins.com,24-05-2000,5431329,Brian,Baker,20000524,True
Molly Fischer,Molly_Fischer@johnson-ramirez.com,1987/10/17,34941,Molly,Fischer,19871017,True
Karen Morton,Karen_Morton@romero.com,04/10/1991,3683 8791,Karen,Morton,19911004,True
Mark Green,Mark_Green@lucas-barnes.com,17-04-1968,68661,Mark,Green,19680417,True
Karen Davis,Karen_Davis@roy-jones.biz,1998-09-30,4794070,Karen,Davis,19980930,True
Joanna Figueroa,Joanna_Figueroa@bowen-soto.com,1957-01-29,52951,Joanna,Figueroa,19570129,True
Paula Barker,Paula_Barker@melendez-hill.com,25-05-1992,63086,Paula,Barker,19920525,True
Adam White,Adam_White@doyle.com,1999/01/15,86506,Adam,White,19990115,True
Melinda Fitzpatrick,Melinda_Fitzpatrick@davis.info,04/08/1962,3211 3511,Melinda,Fitzpatrick,19620804,True
Victoria Moore,Victoria_Moore@ramirez.biz,01/16/1992,6323 2827,Victoria,Moore,19920116,True
Timothy Clark,Timothy_Clark@richardson.com,2013-06-13,3589755,Timothy,Clark,20130613,False
Nathaniel Wells,Nathaniel_Wells@morris.net,12/19/1958,250749,Nathaniel,Wells,19581219,True
Cindy Pitts,Cindy_Pitts@harris-craig.org,05/02/1986,5364255,Cindy,Pitts,19860205,True
Travis Johnson,Travis_Johnson@miller-rivera.org,1996/08/05,56146735,Travis,Johnson,19960805,True
Nichole Townsend,Nichole_Townsend@romero.info,1997-06-06,1175259,Nichole,Townsend,19970606,True
Jessica Allen,Jessica_Allen@flynn.com,31-10-1966,270669,Jessica,Allen,19661031,True
Charles Wright,Charles_Wright@wilson-huff.com,21-04-2009,361641,Charles,Wright,20090421,False
Julie Castillo,Julie_Castillo@dodson-park.biz,01/09/1980,86306,Julie,Castillo,19800901,True
Robert Young,Robert_Young@bryan.biz,2001-05-29,8980161,Robert,Young,20010529,True
Randy Bauer,Randy_Bauer@morgan.org,01/01/2012,3405788,Randy,Bauer,20120101,False
Joel Webb,Joel_Webb@solis-swanson.com,10/09/1989,3783 9071,Joel,Webb,19890910,True
Christopher Bright,Christopher_Bright@campbell.biz,10/19/1966,3823527,Christopher,Bright,19661019,True
Maria Reyes,Maria_Reyes@allen-kim.biz,03/06/1989,22751,Maria,Reyes,19890603,True
Christopher Larson,Christopher_Larson@ross.info,05-01-2000,73856,Christopher,Larson,20000105,True
Evan Richardson,Evan_Richardson@patrick-cole.com,27-06-1977,591963,Evan,Richardson,19770627,True
Brittany Salinas,Brittany_Salinas@garrison.com,1979-04-17,4460492,Brittany,Salinas,19790417,True
Theodore Schultz,Theodore_Schultz@dunn.net,2014/11/12,69146,Theodore,Schultz,20141112,False
Allen Hall,Allen_Hall@murphy.org,1976-01-13,123687,Allen,Hall,19760113,True
Mark Bailey,Mark_Bailey@greer-davis.com,1988/05/08,20746,Mark,Bailey,19880508,True
Ashley Barton,Ashley_Barton@hayes.com,1989-03-14,554769,Ashley,Barton,19890314,True
Melissa Reid,Melissa_Reid@weber.info,07/21/1973,8472955,Melissa,Reid,19730721,True
Kevin Frazier,Kevin_Frazier@prince.com,2009-10-02,8583765,Kevin,Frazier,20091002,False
Jacqueline Russell,Jacqueline_Russell@barrett.net,05/21/1979,201495,Jacqueline,Russell,19790521,True
Jeremy Davidson,Jeremy_Davidson@baker.com,04/24/2014,9045282,Jeremy,Davidson,20140424,False
Vincent Taylor,Vincent_Taylor@taylor-rodriguez.net,07/16/1965,6194315,Vincent,Taylor,19650716,True
Daniel Alexander,Daniel_Alexander@chang.info,12/09/1969,1288155,Daniel,Alexander,19690912,True
Katherine Brooks,Katherine_Brooks@mora-hernandez.com,11/11/1966,50836,Katherine,Brooks,19661111,True
Donna Malone,Donna_Malone@brown.com,10/07/1952,8903 8207,Donna,Malone,19520710,True
Sarah Carlson,Sarah_Carlson@morris.net,08/08/2013,598389,Sarah,Carlson,20130808,False
Stephen Stafford,Stephen_Stafford@lambert.info,05/03/1953,4399928,Stephen,Stafford,19530305,True
Molly Grant,Molly_Grant@porter.com,04/02/1965,5299295,Molly,Grant,19650204,True
Vanessa Chase,Vanessa_Chase@waters.com,05/10/2007,4979822,Vanessa,Chase,20071005,False
Katrina Miller,Katrina_Miller@anderson-dawson.biz,25-05-1956,402705,Katrina,Miller,19560525,True
Karen Hancock,Karen_Hancock@brown.com,09/19/1988,9030904,Karen,Hancock,19880919,True
Raymond Brooks,Raymond_Brooks@spencer.org,08/29/2007,1951664,Raymond,Brooks,20070829,False
Amanda Reynolds,Amanda_Reynolds@barnes.com,21-10-2016,26241,Amanda,Reynolds,20161021,False
Sandra Marquez,Sandra_Marquez@haynes.com,1993-09-04,6355350,Sandra,Marquez,19930904,True
Eric Gregory,Eric_Gregory@wagner.com,1961-06-16,5179343,Eric,Gregory,19610616,True
Mary Allen,Mary_Allen@king-fisher.org,18-11-2010,3142952,Mary,Allen,20101118,False
Michael Santos,Michael_Santos@ball-larson.com,07/03/1993,40466,Michael,Santos,19930307,True
Ronnie Ali,Ronnie_Ali@powell.com,07/12/1998,240207,Ronnie,Ali,19981207,True
Mr. Jeff Wilson,Jeff_Wilson@booker.biz,12-07-1950,20197287,Jeff,Wilson,19500712,True
John Richardson,John_Richardson@mccall.biz,29-04-1966,816681,John,Richardson,19660429,True
Joseph Beasley,Joseph_Beasley@woods.org,1989/03/09,816459,Joseph,Beasley,19890309,True
Kyle Brown,Kyle_Brown@williams-benson.com,1987-09-17,4034633,Kyle,Brown,19870917,True
Ruth Ballard,Ruth_Ballard@byrd-schaefer.info,1994/02/07,7480663,Ruth,Ballard,19940207,True
Michael Bradley,Michael_Bradley@martin.org,1995/07/29,2320284,Michael,Bradley,19950729,True
Derek Sandoval,Derek_Sandoval@hernandez-martinez.com,1982/04/07,471009,Derek,Sandoval,19820407,True
Kayla Brown,Kayla_Brown@pierce.info,18-10-1989,54681543,Kayla,Brown,19891018,True
Rodney Harrison,Rodney_Harrison@johnson.com,1993/11/27,9536472,Rodney,Harrison,19931127,True
Whitney Sims,Whitney_Sims@moreno-brewer.info,1992-06-20,5640027,Whitney,Sims,19920620,True
Carly Wagner,Carly_Wagner@johnson.com,1960/06/14,59171,Carly,Wagner,19600614,True
Brett House,Brett_House@rose-clarke.com,11/26/1984,9811 4087,Brett,House,19841126,True
Steve Gonzalez,Steve_Gonzalez@young.com,1976-11-28,6214727,Steve,Gonzalez,19761128,True
David Fisher,David_Fisher@davis.info,1992-10-09,16961,David,Fisher,19921009,True
Leonard King,Leonard_King@keller.biz,1977-01-26,20751,Leonard,King,19770126,True
Elizabeth Lewis,Elizabeth_Lewis@rivera-gonzalez.biz,1979/07/30,56666,Elizabeth,Lewis,19790730,True
Nicole Small,Nicole_Small@nolan-randall.com,04/14/1957,8255 3335,Nicole,Small,19570414,True
Anthony Cline,Anthony_Cline@rivera-collier.net,01/25/1989,6423 1171,Anthony,Cline,19890125,True
Brent Moore,Brent_Moore@patel-martin.com,20-10-1992,6751949,Brent,Moore,19921020,True
Maria Hunt,Maria_Hunt@bennett.com,06/03/1983,571851,Maria,Hunt,19830306,True
Robert Howard,Robert_Howard@kim.info,17-07-1967,80566095,Robert,Howard,19670717,True
Katherine Smith,Katherine_Smith@bean-king.org,2003-10-29,44340415,Katherine,Smith,20031029,False
Mrs. Andrea Meza,Andrea_Meza@moreno.com,06/06/1986,56501,Andrea,Meza,19860606,True
Nathan Crane,Nathan_Crane@nolan.info,14-03-1978,9432312,Nathan,Crane,19780314,True
Dr. Douglas Delgado DDS,Douglas_Delgado@davis-lane.com,1978-11-03,5880421,Douglas,DDS,19781103,True
Mariah Garrison,Mariah_Garrison@hogan.biz,15-12-1997,31527511,Mariah,Garrison,19971215,True
Dennis Perez,Dennis_Perez@kelley.info,1993/11/20,2815674,Dennis,Perez,19931120,True
Veronica Berry,Veronica_Berry@singh-anderson.com,04-10-2014,819843,Veronica,Berry,20141004,False
Kristine Holland,Kristine_Holland@robertson-lewis.biz,1969-11-05,27426,Kristine,Holland,19691105,True
Kelly Gregory,Kelly_Gregory@chan-gonzales.com,15-11-1970,753465,Kelly,Gregory,19701115,True
Shawn Brown,Shawn_Brown@smith-dougherty.org,13-01-2014,884547,Shawn,Brown,20140113,False
Danielle George,Danielle_George@cole.info,12/06/2017,9183 8815,Danielle,George,20170612,False
Tiffany Brown,Tiffany_Brown@stout-thompson.com,02/17/2003,2775 5951,Tiffany,Brown,20030217,True
Alice Freeman,Alice_Freeman@johnson.com,2014/11/05,547245,Alice,Freeman,20141105,False
Daniel Brown,Daniel_Brown@williams-schneider.biz,1965-02-28,38844959,Daniel,Brown,19650228,True
Jessica Hopkins,Jessica_Hopkins@watkins.com,2007/04/21,877329,Jessica,Hopkins,20070421,False
April Bryant,April_Bryant@edwards-riggs.org,1973-08-26,202863,April,Bryant,19730826,True
Christopher Miller,Christopher_Miller@thornton.com,06/09/1984,69221,Christopher,Miller,19840906,True
Duane Smith,Duane_Smith@garcia-lopez.com,1977-01-15,55906,Duane,Smith,19770115,True
Madeline Sandoval,Madeline_Sandoval@schultz-duncan.biz,02-04-1987,32032871,Madeline,Sandoval,19870402,True
Dr. Victoria Kirk,Victoria_Kirk@clark.biz,28-12-2017,81082879,Victoria,Kirk,20171228,False
Paul Davis,Paul_Davis@berg.com,05/01/2003,978435,Paul,Davis,20030105,True
Robert Dickerson,Robert_Dickerson@howard.biz,1957/07/25,43682807,Robert,Dickerson,19570725,True
Kevin Lambert Jr.,Kevin_Lambert@hogan.org,1951/03/20,7732992,Kevin,Jr.,19510320,True
Sheila Morton,Sheila_Morton@jones.org,2015/07/16,13556935,Sheila,Morton,20150716,False
Melanie Dennis,Melanie_Dennis@daniels.com,1988-10-24,8830424,Melanie,Dennis,19881024,True
Melissa Cline,Melissa_Cline@davis.com,29-08-1971,6097904,Melissa,Cline,19710829,True
Timothy Williams,Timothy_Williams@smith.com,1977-08-22,22536,Timothy,Williams,19770822,True
Kimberly Anderson,Kimberly_Anderson@sandoval-garcia.com,2009/04/11,94200159,Kimberly,Anderson,20090411,False
Sarah Simmons,Sarah_Simmons@nelson.com,1957/02/04,22621,Sarah,Simmons,19570204,True
Michael Bryan,Michael_Bryan@hall.org,1975-07-17,78181,Michael,Bryan,19750717,True
Peter Lopez DVM,Peter_Lopez@mejia-farrell.com,2018/05/22,58791,Peter,DVM,20180522,False
Philip Oliver,Philip_Oliver@randolph.com,01/03/2013,7107 7595,Philip,Oliver,20130301,False
Sara Hodges,Sara_Hodges@morrow.com,1975/02/04,343755,Sara,Hodges,19750204,True
Richard Hicks,Richard_Hicks@ferguson-henderson.com,30-11-2007,94751,Richard,Hicks,20071130,False
Michael Brown,Michael_Brown@henry.com,01/12/2010,65131,Michael,Brown,20101201,False
Destiny Roy,Destiny_Roy@wilson.com,1977-05-05,97886,Destiny,Roy,19770505,True
Kimberly Baker,Kimberly_Baker@bowman.com,2002-07-03,7213130,Kimberly,Baker,20020703,True
Jamie Higgins,Jamie_Higgins@francis.org,1961-10-14,27639911,Jamie,Higgins,19611014,True
Preston Ferguson III,Preston_Ferguson@rowe.com,08-10-1963,81456,Preston,III,19631008,True
Rachel Montgomery,Rachel_Montgomery@flores-martin.net,1995/08/06,26916,Rachel,Montgomery,19950806,True
Rebecca Walls,Rebecca_Walls@mitchell.net,03/17/1973,789609,Rebecca,Walls,19730317,True
Mr. Matthew Collins,Matthew_Collins@wong.biz,04/05/2017,4935834,Matthew,Collins,20170504,False
Thomas Forbes,Thomas_Forbes@beck.com,10/23/1959,2503 6935,Thomas,Forbes,19591023,True
Caitlin Shelton,Caitlin_Shelton@hawkins-davis.com,10/05/2014,3707 5271,Caitlin,Shelton,20140510,False
Jennifer Lin,Jennifer_Lin@nichols-mullen.net,10/09/1951,7115557,Jennifer,Lin,19510910,True
Diana Carney,Diana_Carney@chapman.com,05/16/2008,39066,Diana,Carney,20080516,False
Kevin Mayo,Kevin_Mayo@pope-jones.com,10/29/1976,7623 4311,Kevin,Mayo,19761029,True
Nicholas West,Nicholas_West@smith.com,28-10-1997,6329989,Nicholas,West,19971028,True
Mitchell Kelley,Mitchell_Kelley@thomas.com,18-10-1979,50086,Mitchell,Kelley,19791018,True
Andre Boyd,Andre_Boyd@bryant.info,1973/01/25,2592423,Andre,Boyd,19730125,True
James Knight,James_Knight@stein-mendoza.info,07/10/1964,86921,James,Knight,19641007,True
Andrew Lee,Andrew_Lee@moore-love.com,01-11-1981,1923741,Andrew,Lee,19811101,True
David Clay MD,David_Clay@terry-morris.net,03/05/2018,5449774,David,MD,20180503,False
Craig Mitchell,Craig_Mitchell@foster-johnson.com,2006-06-07,73048895,Craig,Mitchell,20060607,False
Jennifer Evans,Jennifer_Evans@gonzalez.org,03-02-1973,72801079,Jennifer,Evans,19730203,True
Scott Schroeder,Scott_Schroeder@house.com,1967-04-13,3209732,Scott,Schroeder,19670413,True
Kathleen Gallagher DVM,Kathleen_Gallagher@lynch.net,05/27/2016,8763035,Kathleen,DVM,20160527,False
Benjamin Davis,Benjamin_Davis@stanton.com,16-01-1999,66021,Benjamin,Davis,19990116,True
Luis Mathis,Luis_Mathis@norris.com,1958-08-05,46776,Luis,Mathis,19580805,True
Rachel Thomas,Rachel_Thomas@rangel.com,1953-06-12,34301,Rachel,Thomas,19530612,True
Erin Henry,Erin_Henry@hester.com,02-03-2002,483099,Erin,Henry,20020302,True
Katie Parker,Katie_Parker@wilson-henry.biz,24-11-1981,707769,Katie,Parker,19811124,True
Melissa Robinson,Melissa_Robinson@jackson.net,01/08/2001,294459,Melissa,Robinson,20010801,True
Nicole Jones,Nicole_Jones@smith.com,07-08-1993,5026750,Nicole,Jones,19930807,True
James Baker,James_Baker@ramirez.com,2002-03-28,33356,James,Baker,20020328,True
Amanda Hopkins,Amanda_Hopkins@davis.com,1970/06/05,41586,Amanda,Hopkins,19700605,True
Eric Rodriguez,Eric_Rodriguez@harris-little.biz,1961-08-03,8302799,Eric,Rodriguez,19610803,True
Rebecca Gallagher MD,Rebecca_Gallagher@miller-carter.org,09/16/1967,4859 5111,Rebecca,MD,19670916,True
Paul Daniels,Paul_Daniels@harris-matthews.info,2015/08/02,79267879,Paul,Daniels,20150802,False
Stephanie Green,Stephanie_Green@berry-williams.net,01/01/1974,45771,Stephanie,Green,19740101,True
Beth Stone,Beth_Stone@nguyen-alvarez.com,31-03-1990,4103408,Beth,Stone,19900331,True
Paul King,Paul_King@humphrey-castaneda.com,1985-07-25,5578210,Paul,King,19850725,True
Lauren Kelly,Lauren_Kelly@fox.com,28-03-2014,90667583,Lauren,Kelly,20140328,False
Laura Pierce,Laura_Pierce@graves-sanchez.com,19-09-1975,5761036,Laura,Pierce,19750919,True
Jasmine Flores,Jasmine_Flores@collins.info,10-04-1956,21325447,Jasmine,Flores,19560410,True
Sarah Chandler,Sarah_Chandler@hodge-garza.com,05/12/1961,86376,Sarah,Chandler,19611205,True
Denise Miller,Denise_Miller@williams-johnson.com,26-08-2015,18049735,Denise,Miller,20150826,False
Randy Moyer,Randy_Moyer@jennings-brown.com,06/17/2003,3295 8939,Randy,Moyer,20030617,True
Megan Perry,Megan_Perry@wilkinson-miller.com,01-09-1994,357879,Megan,Perry,19940901,True
David Weber,David_Weber@green.net,05/22/1966,459531,David,Weber,19660522,True
Michael Hoffman,Michael_Hoffman@morrow.com,1978-11-11,36611,Michael,Hoffman,19781111,True
Amy Townsend,Amy_Townsend@shields.com,1995-06-23,41826,Amy,Townsend,19950623,True
Martin Larson,Martin_Larson@rodriguez-glover.info,2001/01/16,1816949,Martin,Larson,20010116,True
Savannah Hampton,Savannah_Hampton@michael.org,1973-02-15,4997210,Savannah,Hampton,19730215,True
Amanda Chavez,Amanda_Chavez@henry.biz,18-10-1984,521403,Amanda,Chavez,19841018,True
Tina Campos,Tina_Campos@taylor-collins.com,01/26/1998,708819,Tina,Campos,19980126,True
Beth Morales,Beth_Morales@leon-mayer.info,30-05-1986,22507695,Beth,Morales,19860530,True
Mark Johnson,Mark_Johnson@woods-benitez.info,29-01-2002,710571,Mark,Johnson,20020129,True
Emily Kramer,Emily_Kramer@wallace.com,1982/03/18,728919,Emily,Kramer,19820318,True
Scott Jackson,Scott_Jackson@evans.com,1989/05/14,52126,Scott,Jackson,19890514,True
Kayla Stanley,Kayla_Stanley@williams.com,01-01-1959,6075784,Kayla,Stanley,19590101,True
Heather Combs,Heather_Combs@powell.com,04/28/1959,1851 8647,Heather,Combs,19590428,True
Samantha Watson,Samantha_Watson@bryant.com,1998/07/16,344691,Samantha,Watson,19980716,True
John Taylor,John_Taylor@pierce.com,1980-06-17,64181,John,Taylor,19800617,True
Kristen Waller,Kristen_Waller@campbell.com,10/21/1955,45451,Kristen,Waller,19551021,True
Robert Chang,Robert_Chang@odonnell-mitchell.com,20-12-2015,23696,Robert,Chang,20151220,False
Elizabeth Berry,Elizabeth_Berry@gross.com,1960-11-12,48236,Elizabeth,Berry,19601112,True
Leslie Estes,Leslie_Estes@torres.com,1978-10-04,478377,Leslie,Estes,19781004,True
Joseph Wilson,Joseph_Wilson@rogers.biz,1989/12/10,36511255,Joseph,Wilson,19891210,True
Austin Ramirez,Austin_Ramirez@young.com,04/06/2001,7669537,Austin,Ramirez,20010604,True
Stephanie Martinez,Stephanie_Martinez@boone-wilson.net,01-09-1951,794511,Stephanie,Martinez,19510901,True
Trevor Valenzuela,Trevor_Valenzuela@cline-espinoza.info,1991/09/11,67310711,Trevor,Valenzuela,19910911,True
Jaime Perez,Jaime_Perez@pierce.net,19-08-1958,611913,Jaime,Perez,19580819,True
Randy Stone,Randy_Stone@lopez-andrews.com,1991/12/16,8196714,Randy,Stone,19911216,True
Elizabeth Delgado,Elizabeth_Delgado@pena-mcdonald.com,10/01/2006,46356,Elizabeth,Delgado,20060110,False
Anthony Scott,Anthony_Scott@carson.com,1976/09/01,52181,Anthony,Scott,19760901,True
Cody Johnson,Cody_Johnson@robinson.info,1960/02/28,5141718,Cody,Johnson,19600228,True
Bryan Hall,Bryan_Hall@wang.com,2016-02-05,558609,Bryan,Hall,20160205,False
Nicole Wiggins,Nicole_Wiggins@santiago.com,2002-10-09,229023,Nicole,Wiggins,20021009,True
Kathleen Turner,Kathleen_Turner@wells.com,17-03-2008,23346431,Kathleen,Turner,20080317,False
Joshua Holland,Joshua_Holland@pittman.com,06-03-1950,5411743,Joshua,Holland,19500306,True
Jessica Miller,Jessica_Miller@morton.com,06/08/1959,147843,Jessica,Miller,19590806,True
Alex Moore,Alex_Moore@santos.net,1994/11/11,5342233,Alex,Moore,19941111,True
Tara Barnes,Tara_Barnes@shepherd.com,08/01/1954,4223 2079,Tara,Barnes,19540108,True
Heather Brown,Heather_Brown@wolfe.com,2014/07/15,178077,Heather,Brown,20140715,False
Michelle Gutierrez PhD,Michelle_Gutierrez@campbell.com,08/11/1998,8047852,Michelle,PhD,19981108,True
Tiffany Brown,Tiffany_Brown@wright.com,04/28/1961,536169,Tiffany,Brown,19610428,True
Alicia Todd,Alicia_Todd@barnett.com,03-07-1967,54896,Alicia,Todd,19670703,True
Annette Morris,Annette_Morris@sosa.net,08/26/2009,3860004,Annette,Morris,20090826,False
Lindsey Hines,Lindsey_Hines@walker.org,1996-01-25,2161706,Lindsey,Hines,19960125,True
John Harmon,John_Harmon@blake.org,1992-11-16,97461,John,Harmon,19921116,True
Alexis Williams,Alexis_Williams@miller.com,09/27/2005,3939 4983,Alexis,Williams,20050927,False
Andrea Oliver,Andrea_Oliver@frazier.com,05/05/1956,865773,Andrea,Oliver,19560505,True
Darrell Smith,Darrell_Smith@crawford.com,1963-07-23,12376,Darrell,Smith,19630723,True
Patrick Hendrix,Patrick_Hendrix@jones.com,09/17/2006,8347 9771,Patrick,Hendrix,20060917,False
Matthew Bruce,Matthew_Bruce@vaughn.com,1970-05-19,14221,Matthew,Bruce,19700519,True
Jimmy Navarro,Jimmy_Navarro@sharp-lewis.biz,1971/04/22,76241,Jimmy,Navarro,19710422,True
Anthony Friedman,Anthony_Friedman@richards.biz,12/10/1969,7786738,Anthony,Friedman,19691012,True
Michael Barrett,Michael_Barrett@walters.com,04/06/1966,27486,Michael,Barrett,19660604,True
Catherine Taylor,Catherine_Taylor@moore.com,03/29/1973,1991837,Catherine,Taylor,19730329,True
John Ross,John_Ross@welch.com,1988-10-12,69781,John,Ross,19881012,True
Michael Austin,Michael_Austin@gomez.org,08-11-2014,60121,Michael,Austin,20141108,False
Troy Warren,Troy_Warren@ortiz.net,1954/11/15,25996,Troy,Warren,19541115,True
Alicia Ruiz,Alicia_Ruiz@bowman.com,2012-07-04,22400679,Alicia,Ruiz,20120704,False
Dana Santos,Dana_Santos@smith.org,2015-01-27,472911,Dana,Santos,20150127,False
Christian Porter,Christian_Porter@turner.org,25-10-1959,61421,Christian,Porter,19591025,True
Emily Ramos,Emily_Ramos@burnett-collins.com,12/16/2018,41531,Emily,Ramos,20181216,False
Sergio Hughes,Sergio_Hughes@cardenas.com,03/09/1981,8695 4943,Sergio,Hughes,19810903,True
Angela Fischer,Angela_Fischer@ball.net,1960/12/25,99016,Angela,Fischer,19601225,True
Lance Weaver,Lance_Weaver@olsen-hancock.com,1969/06/07,2962835,Lance,Weaver,19690607,True
Dawn Ward,Dawn_Ward@mack-gibson.com,08/24/1991,4952137,Dawn,Ward,19910824,True
Norman Simpson,Norman_Simpson@guerrero.net,09-10-1956,54256,Norman,Simpson,19561009,True
Suzanne Haas,Suzanne_Haas@hawkins-huang.org,2008-07-18,83586,Suzanne,Haas,20080718,False
Lisa Craig,Lisa_Craig@zavala-allen.info,07/17/1988,6034757,Lisa,Craig,19880717,True
Joseph Summers,Joseph_Summers@diaz.info,2009-11-27,4188136,Joseph,Summers,20091127,False
Carl Decker,Carl_Decker@morales.info,2012-05-30,73801,Carl,Decker,20120530,False
Sandra Pollard,Sandra_Pollard@costa.net,2016-03-20,651855,Sandra,Pollard,20160320,False
Cameron Nielsen,Cameron_Nielsen@wright.biz,02-11-2000,6402635,Cameron,Nielsen,20001102,True
Frank Jones,Frank_Jones@miranda.com,13-01-1979,682293,Frank,Jones,19790113,True
James Jordan,James_Jordan@taylor.com,23-02-2011,64911,James,Jordan,20110223,False
Destiny Rojas,Destiny_Rojas@stanton.com,01/21/1986,2735 1983,Destiny,Rojas,19860121,True
Lisa Clark,Lisa_Clark@alvarez.com,19-03-2004,682125,Lisa,Clark,20040319,False
Lori Valdez,Lori_Valdez@jordan.org,1973-03-12,502911,Lori,Valdez,19730312,True
Danny Lewis,Danny_Lewis@turner.com,12/25/1952,4103 6747,Danny,Lewis,19521225,True
Richard Bauer,Richard_Bauer@knight.com,12/27/1957,9979628,Richard,Bauer,19571227,True
Alicia Ferrell,Alicia_Ferrell@thomas-hamilton.com,2009/10/04,79701,Alicia,Ferrell,20091004,False
Grant Hall,Grant_Hall@bowman.com,08/13/1963,714705,Grant,Hall,19630813,True
Elizabeth Hill,Elizabeth_Hill@solis.com,07/20/2008,390153,Elizabeth,Hill,20080720,False
Jacqueline Brown,Jacqueline_Brown@costa.com,1985-06-03,54441,Jacqueline,Brown,19850603,True
Tiffany Barron,Tiffany_Barron@brown.com,1952/02/22,7810034,Tiffany,Barron,19520222,True
Mark Bowman,Mark_Bowman@hayes.com,25-04-1963,18606,Mark,Bowman,19630425,True
Dr. Shannon Jackson,Shannon_Jackson@kelly.com,1997/01/13,51621,Shannon,Jackson,19970113,True
